WDS,s,M,|U*g|,Planets
00155-1608,1.845,0.291,19000,No
00184+4401,93,0.559,1200,Yes
00247-2653,12.32,0.276,11000,No
00321+6715,40.935,0.941,9200,No
00363+1821,0.389,0.119,16000,No
00491+5749,68.77,1.52,14000,No
01026+6221,2904.18,0.767,75,Yes
01083+5455,7.664,0.917,30000,No
01104-6727,1.039,0.733,220000,No
01388-1758,5.459,0.247,4900,No
01398-5612,93.466,1.69,13000,No
02051-1737,4.618,0.623,23000,No
02361+0653,1186.77,1.069,310,No
03019-1633,49.497,0.633,3400,Yes
(Wolf 227),0.0134,0.247,1200000,No
04153-0739,417.51,1.679,2800,No
04312+5858,177.766,0.911,1700,No
04589+6435,4.945,0.024,49,No
05025-2115,11.817,0.983,34000,No
05086-1810,0.915,0.59,170000,No
05404+2448,7.459,0.208,2600,No
05445-2227,867.612,2.12,2200,No
05544+2017,5.446,1.2317,53000,No
06106-2152,28.175,0.614,2400,Yes
06293-0248,4.187,0.339,11000,No
06308-7643,11.704,0.227,1900,No
06337-7538,192.187,0.732,1200,No
06451-1643,19.767,3.08,190000,No
06523-0510,514.433,1.191,1100,No
06579-4417,18.899,0.535,6700,No
07039+5242,1.411,0.25,20000,No
(QY Aur),0.0672,0.418,1100000,No
07200-0847,2.173,0.158,4900,No
07364+0705,5.419,0.34,9400,No
07393+0514,15.147,2.07,100000,No
07402-1724,186.001,0.827,730,No
08582+1945,10.9782,0.238,2200,No
08589+0829,2.66,0.605,58000,No
09144+5241,130.9,1.33,6000,Yes
09156-1036,1.912,0.223,11000,No
09313-1329,6.388,0.781,42000,No
10493-5319,3.693,0.0619,450,No
10498+3533,2.949,0.253,8400,No
11055+4332,156.229,0.496,490,No
11182+3132,4520,2.406,24,No
11345-3250,146.092,1.469,6300,No
11467-4029,211.678,1.18,1400,Yes
12179+1627,15,0.035,35,No
12335+0901,3.979,0.237,6200,No
13198+4747,14.102,1.573,140000,No
14120-4132,4.657,0.215,4000,No
14164+1348,88.4,0.099,44,No
14396-6050,8200,2.138,64,Yes
14514+1906,33.326,1.63,34000,No
14545+1606,2.109,0.644,2600,No
14575-2125,1525,1.738,31,No
(L 768-119),,0.614,,No
15467-5535,1.807,0.168,23000,No
16202-3734,537.242,0.562,220,No
16240+4822,1.868,0.493,41000,No
16555-0820,1428.531,1.358,160,No
(G 203-47),,0.795,,No
17121+4540,4.639,0.729,51000,No
17153-2636,4353.311,2.42,480,No
17190-3459,489.289,1.576,1500,Yes
17191-4638,112.104,1.94,15000,No
17352-4841,45.078,0.655,3600,No
17465+2743,294.884,2.118,6300,No
(2MASS J17502484–0016151),0.117,0.121,54000,No
18055+0230,23.268,1.501,42000,No
18211+7244,1.002,1.971,1700000,No
18411+2447,451.843,0.478,190,No
18428+5938,138.034,0.602,1100,Yes
18451-6358,4.686,0.132,1500,No
19072+2053,925.207,0.62,180,No
19074+3230,2.5852,0.414,29000,No
19169+0510,446.579,0.578,190,Yes
19539+4425,37.019,0.314,1100,No
20112-3606,69.742,0.957,3900,No
20298+0941,0.822,0.351,59000,No
20452-3120,45551.36706,1.155,8.8,Yes
20492-4012,0.13,0.28,250000,No
21069+3845,85.9,1.281,8400,No
21296+1739,0.2298,0.59,670000,No
21313-0947,1.0847,0.415,64000,No
21516+5918,123.917,1.039,3800,No
22034-5647,1464.249,0.793,94,Yes
22280+5742,2.438,0.505,11000,No
22385-1519,1.183,0.327,36000,No
22388-2037,50.14,4.279,15000,No
22577-2937,,2.65,,No
23317+1956,33.64265,0.639,5100,No
