WDS,s,M,|U*g|,Planets
(PM J00026+3821A),55.75,0.687,372.8,No
00077+6022,13.01,0.4286,616.8,No
00137+8038,245.4,0.6865,61.62,No
00164+1950,0.03862,0.7651,61.43,No
(G 131-47),60680,0.8196,0.1742,No
00180+2057,261.4,1.121,210.4,No
00184+4401,122.4,0.5594,93.55,Yes
00220+4913,67.44,0.6267,221.3,No
00243+7711,215.2,0.7341,95.38,No
00326+0729,25.51,0.883,1320,No
00341+2524,77.91,1.625,1044,No
00415+5550,248.6,0.8718,117.5,No
00490+4435,33.81,0.7575,747.8,No
00516-2255,262.4,0.8508,62.45,No
01026+6221,2905,0.7671,7.528,Yes
01032+2006,39.55,0.7172,560.3,No
01037+4051,8.046,0.744,69.12,No
01119+0455,6.804,0.2108,11.09,No
(Wolf 58),57.86,0.7178,293.6,No
01227+0032,16.95,0.387,382.2,No
01376-0645,14680,1.202,3.409,No
01388-1758,6.043,0.2471,444.7,No
01519+6426,233.6,1.124,231.6,No
01538-1500,96.56,1.028,482.5,No
01545+5741,193.2,0.6966,91.98,No
(LP 296-57),9392,0.5227,1.175,No
02021+0355,621,1.105,80.63,No
02025+1035,13.25,0.4925,802.3,No
02212+3653,28.23,0.7654,450.7,No
02290-1959,3.527,0.3175,4.207,No
(StKM 2-213A),179.2,1.33,432.2,No
02361+0653,12.51,0.2607,30.21,No
02369+3204,40.26,0.5418,320.7,No
02442+4914,234.2,1.712,461.1,No
02457+4456,431,0.7677,38.85,No
(PM J02489-1432W),314.8,0.8947,112,Yes
02556+2652,107.4,2.129,1274,Yes
02565+5526,336.6,1.098,155.6,No
02592+3637,43.68,0.4969,193.8,No
03019-1633,51.62,0.418,70.78,Yes
03037-1251,2667,0.724,8.656,No
03042+6142,6190,1.467,12.82,No
(Ross 369A),21.23,0.8118,1357,No
03162+5810,68.52,0.8662,482.3,No
(LP 198-637 A),25.22,1.079,2036,No
03242+2347,53.73,1.536,893.5,No
(PM J03247+4447A),62.87,0.8923,527.1,No
(LSPM J0328+3515A),57.93,1.044,829.5,No
03286-1537,392.2,0.5568,34.77,No
03332+4615,345.8,1.508,287.8,No
