WDS,s,M,|U*g|,Planets
00016-0102,68471.44026,0.351900796,0.73,No
01005-1923,140817.0144,2.565088458,21,No
01024+0504,28710.28426,1.9,53,No
01066+1353,643708.4819,2.338203673,3.7,No
01134-3932,264616.1749,2.208809914,7.8,No
01326-4944,81238.75101,3.378439017,61,No
02022-4550,604977.7731,2.522577949,4.6,No
02025-3849,69344.25277,0.406936464,0.71,No
02062-4726,102307.3825,1.552951067,6,No
02310+0823,111464.9139,0.847764624,2.1,Yes
02315+0106,2284662.136,6.089754888,,No
02462+0536,186590.1775,3.740265616,,No
03503-0131,517084.5246,3.661643451,,No
04346-3539,45893.38376,1.585459703,,No
05222+0524,81960.76524,2.964320028,36,No
05444-0528,435217.3259,2.623519142,6.7,No
06384+3945,166063.0136,1.366373962,,No
06536-3956,89766.38831,1.656229755,9.4,No
07069+5511,91167.59296,1.481216742,8.9,No
07113+3307,80175.98304,2.192177534,26,No
07160+5759,183886.0043,1.143882686,1.4,No
07166-2319,1340920.011,4.690728394,,No
07294-1500,39143.53856,3.367313288,71,No
07329-5249,157886.6636,0.886775342,1.6,No
08211+4021,98472.01297,2.02164158,16,No
08237-5519,261045.0155,2.360052787,9,No
08388-1315,449326.3715,1.390834558,1.9,Yes
08447-5443,136664.159,7.389803799,96,No
08480-3115,125616.1718,2.416859927,20,No
09150+3837,56756.36997,1.981470951,19,No
09467+1632,110050.941,1.109184295,3.8,No
09487-2625,47893.9467,2.549060112,42,No
09568+0415,74034.89007,1.840271859,16,No
10289+3453,519945.5758,2.116509246,3.8,No
10532-3006,1439552.756,2.502919038,1.9,No
11214+0638,55277.20862,1.650499643,12,No
11265+2031,80241.31107,1.335089413,6.9,No
11455+4740,60297.19723,1.437121699,12,No
11486+1417,119880.2227,2.623659484,17,No
11513+4516,33084.32936,0.952419412,8.1,No
12213-5012,115686.119,2.2371426,19,No
12317+1208,448129.4031,3.059340051,,No
12416+1026,400872.5958,3.156114393,9.7,No
13305+2231,307366.1206,2.126417332,6.4,No
13470+3833,191092.3464,4.75,44,No
13496+1301,244780.922,4.103182177,28,No
14153+0308,491721.1149,3.100022798,8,No
14190-0636,75401.14156,3.009,51,No
14396-6050,10710.36005,2.161265681,41,Yes
15031-4618,27730.38747,1.077739289,17,No
15120+0245,71562.82074,0.622833074,2.2,No
15208+3129,72366.39729,2.151892296,27,No
15226+3953,119659.5083,1.1673938,3.2,No
15318-0204,225785.9728,2.334422621,,No
15330-0111,1482674.33,3.31,6.5,No
15356+7726,77225.44468,1.539962232,13,No
15408-3252,281630.9247,1.402925203,3,No
15488+4929,84982.4992,0.236709546,0.29,No
15590+1820,556682.2468,2.480759743,4.9,No
16278-0822,781632.7481,3.961323798,,No
17127+3235,73598.38671,1.141221352,4.7,No
17166+0325,1407590.647,2.321670434,1.7,Yes
17415+4924,137016.458,1.272160798,3.6,No
18143-4309,334297.3767,3.949137025,,No
18496+1313,288808.8482,1.582317641,3.8,No
18571+5143,660288.4912,2.525498936,4.2,No
18597+1615,57189.23158,1.749420698,20,No
19235-6924,98153.23651,3.277952016,47.9,No
19290-4952,359375.2377,1.762683552,3.8,No
19476+0105,767736.34,3.091454641,3.8,No
19507-5912,319410.6722,7.233618086,,No
20080-0041,49180.42308,1.986243571,35,No
20084+1503,709733.4771,2.340516929,3.4,No
20124-1237,28828.10322,1.825166691,43,No
20154+6412,449971.2189,2.331350986,,No
20371+6122,295963.8467,2.564650989,9.8,No
20404-3251,316794.3864,2.37222395,7.8,No
20489-6847,943328.3298,4.290035788,,No
20599+4016,49161.70827,4.81129362,100,No
21009-4132,19408.48682,0.456413784,4.7,No
21066+8048,44520.80216,1.049107831,11,No
21096-1122,52526.28193,2.637300765,42,No
21105+2227,1783329.495,3.186368451,2.5,No
21190+2614,66810.05837,1.126204407,5.2,Yes
22175+2335,94002.03048,0.841515661,3.3,No
22220-3431,880918.0169,4.919581275,12,No
22378-0414,83118.24813,2.750063025,11,No
22455+1112,66392.25028,2.7424043,50,No
22497+6612,1061272.218,3.626197204,,No
22596-1246,87542.94239,1.015731111,2.1,No
23309-5807,493391.3001,3.966928864,14,No
23328-1651,188390.247,1.14666931,3,No
23506+5412,60146.54121,3.163247548,69,No
